transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,currency,channel,status,description,beneficiary_acc,reference_number
TXN0000000001,ACC00000028,2023-09-25,21:50:12,DEBIT,178691.29,INR,RTGS,SUCCESS,UPI Transfer,189018700929,ONGRJJSEQGS5XYO7
TXN0000000002,ACC00000018,2024-04-18,14:44:01,CREDIT,470454.93,INR,BRANCH,SUCCESS,FD Maturity Credit,,24XQ1RICQP75JZUX
TXN0000000003,ACC00000137,2024-10-10,05:31:53,DEBIT,48344.21,INR,NET_BANKING,SUCCESS,Mutual Fund SIP,086868707013,Y3CYKZRNYBHU0HRV
TXN0000000004,ACC00000569,2026-01-02,09:25:59,CREDIT,186041.6,INR,ATM,SUCCESS,Fund Transfer,,GEDIFVTUZL5OM35S
TXN0000000005,ACC00000379,2025-02-13,22:20:52,CREDIT,200216.65,INR,RTGS,SUCCESS,FD Maturity Credit,,CWMX7TC74MX2Q326
TXN0000000006,ACC00000405,2024-07-31,04:32:16,CREDIT,103340.96,INR,BRANCH,SUCCESS,Interest Credit,,HYC3RD4QBEXEKM7S
TXN0000000007,ACC00000294,2025-01-04,15:55:34,DEBIT,102493.57,INR,NET_BANKING,SUCCESS,Salary Credit,934189463862,MXPXMRVKD6VXWERG
TXN0000000008,ACC00000019,2024-10-29,03:54:37,CREDIT,483373.04,INR,IMPS,FAILED,NEFT Transfer,,3Q23J7M0HKYSQCM9
TXN0000000009,ACC00000624,2024-06-30,17:30:57,CREDIT,62737.59,INR,IMPS,SUCCESS,Rent Payment,,KOUSKX474Q2TXFAO
TXN0000000010,ACC00000599,2024-10-15,05:50:33,CREDIT,312127.41,INR,IMPS,SUCCESS,Online Shopping,,L6T62W8OBS0ZSJRR
TXN0000000011,ACC00000173,2024-03-22,02:22:42,DEBIT,104841.96,INR,MOBILE_BANKING,PENDING,NEFT Transfer,846295028563,60P0ARBDFFUXBYUO
TXN0000000012,ACC00000617,2025-01-15,20:53:18,DEBIT,13576.08,INR,NEFT,SUCCESS,Insurance Premium,192946517360,WMSMMDY4R5DM3EAH
TXN0000000013,ACC00000768,2023-07-14,22:43:39,DEBIT,133541.18,INR,ATM,SUCCESS,Bill Payment,330263577055,KJXUG5JSIAEFALO4
TXN0000000014,ACC00000192,2025-04-10,07:26:31,DEBIT,7183.7,INR,UPI,SUCCESS,ATM Withdrawal,725240044685,645SVYWMU2QYUTDS
TXN0000000015,ACC00000367,2025-09-25,12:25:36,CREDIT,455142.93,INR,BRANCH,SUCCESS,Salary Credit,,47BRJZWJI3M046SB
TXN0000000016,ACC00000827,2024-08-16,17:41:17,DEBIT,15074.64,INR,RTGS,SUCCESS,Insurance Premium,731854475490,2IB4VDN4KK2O0IVL
TXN0000000017,ACC00000073,2026-02-08,06:02:18,DEBIT,127064.1,INR,ATM,SUCCESS,Loan Disbursement,665413575976,ZMPWYCAM02ILTMUL
TXN0000000018,ACC00000018,2025-07-14,01:04:11,CREDIT,346115.93,INR,NET_BANKING,SUCCESS,Loan Disbursement,,0WHUB5YP0AA8KJOZ
TXN0000000019,ACC00000513,2025-11-24,10:02:37,DEBIT,41590.23,INR,MOBILE_BANKING,REVERSED,Rent Payment,866192380906,9N055OVNWUIS1E8U
TXN0000000020,ACC00000804,2025-08-07,23:09:14,CREDIT,227307.48,INR,IMPS,FAILED,UPI Transfer,,E9QAMNCK2J5C1EO9
TXN0000000021,ACC00000589,2025-02-28,09:38:37,DEBIT,39918.28,INR,UPI,FAILED,Cash Deposit,959840202941,WO7OEVAFT9X5K89D
TXN0000000022,ACC00000500,2024-10-14,10:53:21,DEBIT,33000.54,INR,NEFT,SUCCESS,ATM Withdrawal,475692358186,QWZFPYBWBUB4VOSI
TXN0000000023,ACC00000815,2024-07-01,10:31:01,CREDIT,184522.55,INR,ATM,SUCCESS,Rent Payment,,78GAAFIGGEKNLUAC
TXN0000000024,ACC00000376,2025-08-03,06:01:53,CREDIT,105189.06,INR,RTGS,SUCCESS,Rent Payment,,FLYBRGWXDWPSR4P9
TXN0000000025,ACC00000109,2025-06-07,16:28:41,DEBIT,30935.71,INR,ATM,SUCCESS,Mutual Fund SIP,910680960704,UWTNPUN7W3GMLN7L
TXN0000000026,ACC00000121,2024-06-08,05:43:02,CREDIT,72893.7,INR,MOBILE_BANKING,SUCCESS,Online Shopping,,R19L3RB8ACIYCMGI
TXN0000000027,ACC00000444,2025-08-23,18:14:22,CREDIT,274780.1,INR,IMPS,SUCCESS,Insurance Premium,,GEXQABH3NA3O6EQ5
TXN0000000028,ACC00000732,2023-07-12,03:05:22,DEBIT,186898.18,INR,UPI,SUCCESS,Insurance Premium,178803080291,5D9ZWSJKRD9IEZMP
TXN0000000029,ACC00000290,2023-01-20,21:54:46,DEBIT,155890.69,INR,MOBILE_BANKING,SUCCESS,NEFT Transfer,130233530777,PGWU3EOT4PA9W40O
TXN0000000030,ACC00000017,2024-01-06,04:29:48,CREDIT,60166.36,INR,BRANCH,SUCCESS,UPI Transfer,,G3N36OFM8F7ILMRF
TXN0000000031,ACC00000211,2025-05-20,03:31:18,CREDIT,9983.98,INR,NEFT,SUCCESS,Online Shopping,,11ZNC4LTOP71PE11
TXN0000000032,ACC00000072,2023-04-23,17:54:43,CREDIT,145486.97,INR,UPI,SUCCESS,Salary Credit,,871I1SXL9GCOZXQK
TXN0000000033,ACC00000631,2023-06-28,17:35:24,CREDIT,18221.27,INR,MOBILE_BANKING,SUCCESS,Salary Credit,,8A20H9F22E4642WS
TXN0000000034,ACC00000568,2024-06-10,01:10:53,CREDIT,465509.66,INR,ATM,SUCCESS,Interest Credit,,9FD2IUI8IV6TTOH3
TXN0000000035,ACC00000029,2023-12-04,17:03:51,CREDIT,430252.45,INR,IMPS,SUCCESS,FD Maturity Credit,,VFAJS7BSKI04W62D
TXN0000000036,ACC00000463,2025-07-24,05:02:29,DEBIT,142876.77,INR,RTGS,SUCCESS,Fund Transfer,304674550576,GEK3JQZVQI717ESZ
TXN0000000037,ACC00000461,2024-05-16,23:35:08,DEBIT,182796.06,INR,IMPS,SUCCESS,FD Maturity Credit,237833230855,2RKOLDW67YHXNAS9
TXN0000000038,ACC00000413,2025-07-14,06:18:39,DEBIT,147871.4,INR,MOBILE_BANKING,PENDING,Fund Transfer,429886992968,GB941P4MTZ5YC3C1
TXN0000000039,ACC00000379,2025-02-03,23:29:21,DEBIT,53376.7,INR,MOBILE_BANKING,SUCCESS,FD Maturity Credit,716379906029,32EXRPBMVO4LCY4Y
TXN0000000040,ACC00000714,2026-02-10,06:12:11,DEBIT,92831.36,INR,MOBILE_BANKING,SUCCESS,Salary Credit,498560535451,XGALZ5BMYNLFWLYN
TXN0000000041,ACC00000280,2024-01-26,14:47:32,DEBIT,123179.74,INR,NET_BANKING,SUCCESS,Loan Disbursement,212041235058,NE5OPGIEKGZ5VYLM
TXN0000000042,ACC00000841,2023-01-11,13:55:56,DEBIT,140175.17,INR,RTGS,SUCCESS,Bill Payment,022267437589,2AL3JDXOHNGXCDMC
TXN0000000043,ACC00000521,2024-09-24,08:00:16,CREDIT,322032.95,INR,BRANCH,SUCCESS,Interest Credit,,Y88PZY6YLQ5DOGNW
TXN0000000044,ACC00000061,2025-02-05,11:13:18,DEBIT,145526.26,INR,NET_BANKING,PENDING,EMI Debit,046365787363,FF3HD709JXINUCJR
TXN0000000045,ACC00000540,2024-07-12,18:10:33,DEBIT,66382.15,INR,MOBILE_BANKING,SUCCESS,Loan Disbursement,376394247137,S1P9DQ04CQ3MKL96
TXN0000000046,ACC00000294,2023-06-18,10:13:24,CREDIT,423762.26,INR,NET_BANKING,SUCCESS,NEFT Transfer,,AVC5I70W8VWLWPK6
TXN0000000047,ACC00000531,2023-11-25,12:37:20,CREDIT,432872.26,INR,NEFT,SUCCESS,Rent Payment,,3E2E26YA3F8TZTHS
TXN0000000048,ACC00000335,2024-01-20,12:52:24,CREDIT,374269.2,INR,BRANCH,REVERSED,EMI Debit,,GVKHD5FJLJBV929T
TXN0000000049,ACC00000234,2023-01-09,16:34:07,CREDIT,186451.44,INR,MOBILE_BANKING,SUCCESS,Online Shopping,,S2CZ9MWE058SB06Z
